iter	RMSE
0	108381.3701
1	101895.9179
2	96249.25282
3	91363.63216
4	86891.60672
5	83213.26381
6	79715.74972
7	76959.09866
8	74159.22951
9	71913.01608
10	69800.43916
11	67918.89042
12	66452.11094
13	65145.80394
14	63909.23808
15	62839.94219
16	61639.3407
17	60760.7484
18	59842.67778
19	59083.63182
20	58398.24129
21	57855.60598
22	57317.02857
23	56823.09687
24	56386.37484
25	55963.05997
26	55460.90293
27	55089.61163
28	54766.8901
29	54460.08916
30	54064.17728
31	53752.66344
32	53459.64991
33	53212.15267
34	52884.33345
35	52683.36101
36	52405.06546
37	52239.97711
38	52028.45547
39	51856.64912
40	51602.89773
41	51294.02475
42	51082.03033
43	50962.71362
44	50809.05629
45	50710.56146
46	50626.63836
47	50475.84753
48	50305.84038
49	50181.5789
50	50054.47932
51	49932.65002
52	49830.03472
53	49706.27051
54	49636.83777
55	49508.72704
56	49380.43523
57	49171.20252
58	49103.73027
59	48969.37657
60	48881.71954
61	48722.55627
62	48654.2312
63	48526.87368
64	48384.49499
65	48283.63591
66	48224.99308
67	48173.89198
68	48101.88585
69	48015.31483
70	47903.89391
71	47843.34596
72	47754.59699
73	47671.70274
74	47578.0587
75	47401.83142
76	47247.80795
77	47160.0071
78	47061.64167
79	46974.14356
80	46883.1095
81	46814.87157
82	46738.14894
83	46644.97268
84	46555.80192
85	46461.80014
86	46379.61747
87	46286.92793
88	46221.68458
89	46123.57824
90	46020.5444
91	45955.51896
92	45869.66196
93	45819.79014
94	45721.64655
95	45655.49511
96	45603.7926
97	45557.51477
98	45476.59616
99	45436.05984
100	45355.62088
101	45297.25007
102	45099.11365
103	45020.1405
104	44966.13315
105	44881.88618
106	44787.25764
107	44711.6565
108	44655.71368
109	44579.18983
110	44480.03619
111	44401.97533
112	44314.27542
113	44271.63554
114	44216.55143
115	44070.85429
116	44014.15083
117	43937.8065
118	43839.667
119	43778.63598
120	43685.13834
121	43655.80944
122	43576.25362
123	43441.39039
124	43389.82196
125	43345.42012
126	43264.21795
127	43205.88129
128	43144.09543
129	43047.71998
130	42969.36794
131	42900.50029
132	42833.97747
133	42772.10484
134	42714.16582
135	42633.72164
136	42559.077
137	42502.59804
138	42400.97562
139	42356.375
140	42268.26537
141	42216.20012
142	42169.59963
143	42085.75488
144	42008.04157
