iter	Passed	Remaining
0	12	12908
1	17	8788
2	23	7914
3	28	7154
4	36	7342
5	41	6917
6	46	6555
7	50	6227
8	54	6009
9	58	5806
10	63	5699
11	67	5553
12	71	5446
13	76	5404
14	81	5344
15	86	5290
16	90	5226
17	94	5148
18	98	5083
19	102	5032
20	107	4993
21	110	4922
22	115	4921
23	119	4871
24	124	4856
25	128	4799
26	132	4779
27	135	4717
28	139	4679
29	143	4649
30	147	4613
31	151	4575
32	155	4567
33	159	4537
34	163	4515
35	167	4489
36	172	4485
37	175	4454
38	180	4443
39	183	4404
40	187	4390
41	191	4374
42	195	4358
43	199	4334
44	203	4314
45	206	4290
46	210	4276
47	214	4256
48	218	4249
49	223	4244
50	228	4244
51	231	4222
52	235	4212
53	240	4211
54	244	4200
55	248	4188
56	252	4177
57	256	4163
58	259	4142
59	263	4123
60	269	4142
61	272	4129
62	276	4119
63	280	4107
64	284	4099
65	288	4078
66	291	4065
67	295	4047
68	299	4034
69	302	4020
70	306	4010
71	310	4001
72	315	4000
73	319	3993
74	323	3989
75	327	3979
76	331	3968
77	334	3958
78	340	3964
79	344	3960
80	348	3958
81	352	3948
82	356	3941
83	360	3929
84	364	3924
85	368	3914
86	372	3905
87	376	3897
88	380	3890
89	385	3894
90	389	3893
91	393	3886
92	397	3879
93	401	3871
94	406	3869
95	410	3865
96	415	3864
97	418	3854
98	423	3851
99	427	3846
100	431	3840
101	435	3837
102	440	3836
103	444	3827
104	448	3820
105	452	3818
106	456	3813
107	460	3801
108	464	3799
109	468	3790
110	472	3786
111	476	3779
112	480	3775
113	484	3768
114	489	3763
115	492	3755
116	497	3752
117	501	3745
118	505	3742
119	509	3734
120	513	3729
121	517	3722
122	521	3717
123	525	3710
124	529	3707
125	533	3700
126	537	3695
127	542	3693
128	546	3690
129	550	3684
130	554	3678
131	558	3671
132	563	3670
133	578	3737
134	584	3748
135	589	3745
136	594	3742
137	598	3736
138	602	3733
139	606	3728
140	611	3726
141	615	3720
142	620	3717
143	623	3708
144	628	3707
145	632	3699
146	636	3693
147	640	3687
148	645	3686
149	649	3682
150	654	3678
151	658	3675
152	662	3669
153	667	3665
154	671	3661
155	675	3655
156	680	3651
157	684	3645
158	688	3640
159	692	3634
160	696	3630
161	700	3622
162	703	3613
163	707	3604
164	711	3600
165	715	3592
166	719	3588
167	723	3583
168	728	3579
169	731	3571
170	736	3568
171	739	3562
172	743	3555
173	747	3548
174	751	3544
175	755	3537
176	759	3532
177	763	3524
178	767	3520
179	771	3515
180	775	3509
181	778	3500
182	782	3495
183	786	3490
184	791	3487
185	795	3482
186	799	3477
187	803	3471
188	807	3464
189	811	3457
190	815	3453
191	818	3446
192	822	3440
193	826	3433
194	830	3428
195	834	3422
196	838	3417
197	841	3409
198	845	3404
199	849	3398
200	853	3394
201	858	3390
202	862	3385
203	865	3378
204	870	3374
205	874	3369
206	878	3365
207	882	3360
208	886	3356
209	890	3350
210	894	3345
211	898	3338
212	902	3333
213	906	3328
214	910	3322
215	914	3318
216	918	3315
217	922	3310
218	927	3307
219	931	3301
220	935	3296
221	939	3291
222	943	3287
223	946	3280
224	950	3273
225	954	3267
226	958	3264
227	962	3259
228	967	3257
229	972	3255
230	977	3253
231	981	3248
232	988	3253
233	992	3249
234	997	3248
235	1002	3244
236	1006	3241
237	1011	3239
238	1016	3236
239	1021	3233
240	1026	3232
241	1030	3228
242	1035	3225
243	1039	3221
244	1045	3220
245	1049	3215
246	1053	3211
247	1057	3207
248	1062	3204
249	1067	3202
250	1072	3199
251	1077	3196
252	1081	3192
253	1085	3187
254	1089	3182
255	1093	3177
256	1097	3173
257	1101	3167
258	1106	3164
259	1109	3158
260	1114	3155
261	1118	3149
262	1122	3144
263	1125	3139
264	1129	3133
265	1133	3128
266	1138	3126
267	1142	3121
268	1146	3116
269	1150	3110
270	1155	3107
271	1159	3102
272	1163	3098
273	1167	3092
274	1171	3087
275	1174	3081
276	1178	3077
277	1183	3072
278	1187	3068
279	1191	3062
280	1195	3057
281	1199	3054
282	1204	3051
283	1208	3047
284	1212	3042
285	1216	3037
286	1221	3033
287	1225	3029
288	1229	3025
289	1234	3022
290	1238	3018
291	1242	3013
292	1247	3009
293	1250	3003
294	1255	3000
295	1259	2995
296	1263	2990
297	1267	2985
298	1271	2981
299	1275	2977
300	1280	2973
301	1284	2968
302	1287	2962
303	1291	2956
304	1295	2951
305	1299	2946
306	1303	2942
307	1307	2936
308	1311	2933
309	1316	2929
310	1321	2926
311	1324	2921
312	1329	2917
313	1333	2913
314	1338	2909
315	1341	2903
316	1345	2898
317	1348	2892
318	1352	2886
